Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1091250000,1219750000,1356680000,1419670000,1676410000,1673213000,1844997000,2104806000,2296826000,2400621636,2378860455,2346992545,2882251000,3972381000,5513860182,6464132727,6555996182,8572399182,10169791182,13018118752,14976292425,13397366642,11871250069,10468409547,11410649601,11984353694,13345039605,12295705774,14440084451,15165590576,15233778197,16219731425,17490961711,16955598710,19177464170,24376107208,26840021444,29840455201,26636511381,24421472386,21695524647,28952410509,29371896505,35782667741,45221368583,51571207389,52442118674,63486919272,73007770360,54406427140,91345896304,1.08813E+11,99553519251,95955455607,91163593221,81487959354,74913039614,89420430614,94328240209,89967101308,
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,0.919419281,1.267275056,2.632581031,4.632413507,4.953153105,5.967870098,3.783853837,6.0992484,6.490150687,6.087033198,7.321186962,,,,,,,,6.925221489,6.814888533,5.430430066,8.918420632,10.8549964,7.311324407,7.656292904,9.833457363,10.13079117,11.72349226,12.07271315,9.817348446,9.100444048,10.355617,9.500018524,10.55657183,9.626524739,11.1812943,10.71023368,10.53551192,11.42200111,10.70418609,10.18347901,9.75395076,9.834105066,12.0071565,10.99220454,10.05087487,8.106094258
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.029218038,1.629775569,1.173726481,1.185333118,1.275351045,1.424643679,1.713092749,2.256427021,2.569935284,2.286902421,2.755053154,3.072705941,3.759751487,4.225999957,4.750704403,5.539416442,4.932636543,5.383106564,4.519903347,5.044618931,4.446500333,5.252105718,
Import unit value index (2000 = 100),TM.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,114,114,112,116,97,82,93,110,108,106,115,113,116,110,110,116,107,106,99,98,100,94.1,92.6885,114.93374,135.6218132,142.5385257,147.0997585,156.2199435,166.9991196,152.9711936,175.9168726,191.5734743,180.6154715,175.6991184,166.6264593,135.0707872,123.8365342,136.067897,145.2435948,137.7636484,123.5947078
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.49,96.6,,96.6,96.6,96.6,96.3,96.3,96.3,96.3,96.3,96.02,96.02,96.02,96.02,96.02,94.29,94.29,94.29,94.29,94.29,94.42,94.42,94.4,94.4
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528000000,522000000,571000000,565000000,607000000,661000000,687000000,772000000,962000000,1058000000,1113000000,1091000000,1447000000,1222000000,1060000000,1224000000,1191000000,1206000000,1223000000,1146000000,881000000,888000000,889000000,800000000,674000000,109000000
"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.532364971,0.539080749,0.545077008,0.549448212,0.551924908,0.553325173,0.559820285,0.563618429,0.565150927,0.56431716,0.561886231,0.563855089,0.562497477,0.559381896,0.555744322,0.552635534,0.554872594,0.554107412,0.552567646,0.552396847,0.554645806,0.564630788,0.572062304,0.577028169,0.579746575,0.58130673,0.589240565,0.594426006,0.598375879,0.602178145,0.606855323,0.616329231,0.625769551,0.635790929,0.646491449,0.658825294,0.665618181,0.667850386,0.668562307,0.670544438,0.675106711,0.682498947,0.686003323,0.686092063,0.683245638,0.67872616,0.688013998,0.692778905,0.693001342,0.688573652,0.680741579,0.684435278,0.684419162,0.68366352,0.684963815,0.690017092,0.702073172,0.713487721,0.722917451,0.728250461,0.729644416
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,3.629847532,3.631971936,3.623487722,3.609205941,3.596750895,3.589311742,3.568107441,3.554933068,3.545396273,3.532776318,3.514114886,3.474369623,3.431206152,3.391008793,3.363065611,3.351637705,3.336894122,3.337204399,3.34547074,3.352163399,3.352252788,3.34106752,3.32589053,3.308601674,3.292166759,3.278387023,3.250416847,3.223833837,3.201524115,3.188555213,3.188324211,3.208807732,3.240698921,3.274404877,3.297177732,3.304456287,3.284654318,3.254536576,3.231088909,3.237506029,3.284683121,3.345546248,3.437189312,3.541936273,3.635807627,3.706476839,3.760156158,3.796644552,3.822585629,3.848475243,3.879930197,3.932338639,3.992265505,4.056042047,4.120442504,4.185261121,4.223266227,4.2649243,4.31070711,4.36159544,4.418145776
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,55.69878474,55.40077731,55.06181023,54.7363459,54.51381557,54.42938627,54.30500414,54.32694657,54.44848783,54.59997812,54.74274146,54.75232389,54.77676552,54.82007211,54.90164906,55.02871097,54.97245055,54.99962896,55.07491803,55.14731424,55.18905427,55.20570424,55.17705701,55.14165443,55.15813175,55.25252481,55.15888463,55.19035433,55.31101297,55.47708843,55.67585463,56.02127331,56.41406745,56.8586278,57.36729956,57.94165213,58.53382807,59.16858577,59.85258927,60.58938037,61.36875245,61.96213552,62.61131578,63.28347668,63.92371935,64.49361619,64.85754737,65.14727403,65.37494855,65.57348601,65.76059021,65.77709045,65.83505255,65.9022343,65.94518655,65.95745459,65.94576098,65.91919538,65.90385931,65.93717339,66.03650423
